"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3782,188361,4,14,28,50
,A02 Gozdarstvo,1634,42263,5,20,76,26
,A03 Ribištvo in gojenje vodnih organizmov,92,2860,4,16,51,31
,B05 Pridobivanje premoga,1205,42714,9,33,94,36
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,6,37,3,9,150,6
,B08 Pridobivanje rudnin in kamnin,1033,18610,5,18,97,18
,B09 Storitve za rudarstvo,44,570,3,10,80,13
,C10 Proizvodnja živil,13758,261830,5,19,98,19
,C11 Proizvodnja pijaè,1412,21946,4,15,95,16
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,2378,48719,4,16,76,21
,C14 Proizvodnja oblaèil,2302,40246,4,14,79,18
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",6141,81160,7,24,180,13
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",7893,153259,5,17,89,19
,C17 Proizvodnja papirja in izdelkov iz papirja,4700,84690,5,19,106,18
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,3257,53382,4,13,79,16
,C19 Proizvodnja koksa in naftnih derivatov,2,59,4,15,50,30
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",7419,107531,4,16,111,15
,C21 Proizvodnja farmacevtskih surovin in preparatov,13336,142806,5,19,178,11
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,15078,259600,5,16,95,17
,C23 Proizvodnja nekovinskih mineralnih izdelkov,6106,143652,6,21,90,24
,C24 Proizvodnja kovin,11017,209236,6,22,113,19
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",28135,497590,4,14,82,18
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",9726,128526,5,18,138,13
,C27 Proizvodnja elektriènih naprav,26625,419294,6,20,130,16
,C28 Proizvodnja drugih strojev in naprav,14617,237460,5,16,100,16
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",17589,258308,5,17,119,15
,C30 Proizvodnja drugih vozil in plovil,1326,12227,4,13,136,9
,C31 Proizvodnja pohištva,4410,97471,5,17,79,22
,C32 Druge raznovrstne predelovalne dejavnosti,4493,60831,4,16,114,14
,C33 Popravila in montaža strojev in naprav,6231,124639,3,12,62,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",9444,118232,4,15,121,13
,"E36 Zbiranje, preèišèevanje in distribucija vode",4483,77823,5,19,111,17
,E37 Ravnanje z odplakami,362,7500,5,17,84,21
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4650,103069,6,23,104,22
,E39 Saniranje okolja in drugo ravnanje z odpadki,273,6015,5,17,76,22
,F41 Gradnja stavb,5187,148714,3,12,41,29
,F42 Gradnja inženirskih objektov,6130,126833,4,16,78,21
,F43 Specializirana gradbena dela,15183,446513,3,12,39,29
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9847,174920,3,11,64,18
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",30300,441441,3,11,76,15
,"G47 Trgovina na drobno, razen z motornimi vozili",58162,1016272,5,18,103,18
,"H49 Kopenski promet, cevovodni transport",13348,337131,3,10,39,25
,H50 Vodni promet,249,1557,2,7,110,6
,H51 Zraèni promet,1026,8886,4,14,161,9
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,11302,148643,4,15,110,13
,H53 Poštna in kurirska dejavnost,10242,152520,6,23,153,15
,I55 Gostinske nastanitvene dejavnosti,9111,195988,5,19,88,22
,I56 Dejavnost strežbe jedi in pijaè,12763,319108,3,13,50,25
,J58 Založništvo,2831,27708,3,12,117,10
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",891,10355,2,7,57,12
,J60 Radijska in televizijska dejavnost,3271,33864,3,12,118,10
,J61 Telekomunikacijske dejavnosti,7787,58835,4,13,168,8
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",11084,83440,2,6,83,8
,J63 Druge informacijske dejavnosti,2394,20711,3,10,118,9
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",22838,190181,4,16,188,8
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",9643,91055,4,15,156,9
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2782,30785,3,10,93,11
,L68 Poslovanje z nepremièninami,5015,78688,3,12,76,16
,M69 Pravne in raèunovodske dejavnosti,7663,113267,3,10,69,15
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",7745,103139,2,8,60,13
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",9837,119763,2,8,67,12
,M72 Znanstvena raziskovalna in razvojna dejavnost,8694,68185,2,9,114,8
,M73 Oglaševanje in raziskovanje trga,2800,29390,3,9,86,11
,M74 Druge strokovne in tehniène dejavnosti,2363,32751,2,7,48,14
,M75 Veterinarstvo,606,9976,3,10,63,17
,N77 Dajanje v najem in zakup,598,7464,2,8,63,13
,N78 Zaposlovalne dejavnosti,26136,299127,4,16,137,12
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1606,18848,3,9,77,12
,N80 Varovanje in poizvedovalne dejavnosti,5026,104328,5,17,83,21
,N81 Dejavnost oskrbe stavb in okolice,5692,156728,5,20,72,28
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,3597,67415,5,18,94,19
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",108136,1195907,7,24,215,11
,P85 Izobraževanje,117556,1135331,4,15,155,10
,Q86 Zdravstvo,68720,799842,5,18,158,12
,Q87 Socialno varstvo z nastanitvijo,23459,379167,7,26,162,16
,Q88 Socialno varstvo brez nastanitve,9846,100630,5,20,194,10
,R90 Kulturne in razvedrilne dejavnosti,3160,60728,3,10,50,19
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",5560,61949,5,17,153,11
,R92 Prirejanje iger na sreèo,2896,35499,4,16,128,12
,R93 Športne in druge dejavnosti za prosti èas,1752,31359,2,9,48,18
,S94 Dejavnost èlanskih organizacij,3418,37104,3,9,84,11
,S95 Popravila raèunalnikov in izdelkov za široko rabo,618,15325,3,10,39,25
,S96 Druge storitvene dejavnosti,5166,118144,3,12,52,23
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),1817,24939,-,-,-,-
2018,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5820,256131,4,16,37,44
,B RUDARSTVO,2435,53558,6,23,103,22
,C PREDELOVALNE DEJAVNOSTI,234927,3840581,5,18,112,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",10581,115495,4,15,135,11
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",10502,177701,5,18,108,17
,F GRADBENIŠTVO,28758,822032,4,13,45,29
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",108088,1813883,4,16,95,17
,H PROMET IN SKLADIŠÈENJE,38281,734887,4,14,70,19
,I GOSTINSTVO,24698,594364,4,16,66,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,28350,260767,3,9,102,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,33923,339239,4,16,160,10
,L POSLOVANJE Z NEPREMIÈNINAMI,5505,92133,4,14,81,17
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",42825,523466,3,9,74,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,47185,755077,5,19,121,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",109173,1302663,7,26,218,12
,P IZOBRAŽEVANJE,125534,1225706,4,16,161,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,107984,1457301,6,23,167,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13701,200775,3,12,84,15
,S DRUGE DEJAVNOSTI,9782,183590,3,12,61,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,4126,215376,4,16,31,52
,A02 Gozdarstvo,1626,38581,5,17,71,24
,A03 Ribištvo in gojenje vodnih organizmov,68,2174,3,12,39,32
,B05 Pridobivanje premoga,1326,32098,7,26,106,24
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,2,2,0,1,50,1
,B08 Pridobivanje rudnin in kamnin,1055,20425,5,19,98,19
,B09 Storitve za rudarstvo,52,1033,6,22,111,20
,C10 Proizvodnja živil,15130,299425,6,21,105,20
,C11 Proizvodnja pijaè,1581,28366,5,18,103,18
,C12 Proizvodnja tobaènih izdelkov,10,70,1,4,63,7
,C13 Proizvodnja tekstilij,3020,68124,6,21,94,23
,C14 Proizvodnja oblaèil,2447,43540,4,16,87,18
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",7449,85716,7,24,209,12
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",8298,175885,5,19,88,21
,C17 Proizvodnja papirja in izdelkov iz papirja,5186,105155,6,24,116,20
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,3565,49502,3,12,85,14
,C19 Proizvodnja koksa in naftnih derivatov,4,69,2,9,50,17
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",8077,120004,5,18,118,15
,C21 Proizvodnja farmacevtskih surovin in preparatov,15906,158099,5,20,197,10
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,16777,283447,5,17,102,17
,C23 Proizvodnja nekovinskih mineralnih izdelkov,6507,139001,5,20,92,21
,C24 Proizvodnja kovin,12918,237819,6,23,126,18
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",31970,559938,4,16,89,18
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",11270,123318,5,17,155,11
,C27 Proizvodnja elektriènih naprav,28737,471291,6,22,134,16
,C28 Proizvodnja drugih strojev in naprav,16628,255691,5,17,110,15
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",21150,304789,5,19,134,14
,C30 Proizvodnja drugih vozil in plovil,1445,14019,4,14,146,10
,C31 Proizvodnja pohištva,4677,103743,5,18,81,22
,C32 Druge raznovrstne predelovalne dejavnosti,4997,63773,4,16,121,13
,C33 Popravila in montaža strojev in naprav,7178,149797,4,14,66,21
,"D35 Oskrba z elektrièno energijo, plinom in paro",10581,115495,4,15,135,11
,"E36 Zbiranje, preèišèevanje in distribucija vode",4974,81522,5,19,117,16
,E37 Ravnanje z odplakami,452,8788,5,19,99,19
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4705,82634,5,18,101,18
,E39 Saniranje okolja in drugo ravnanje z odpadki,371,4757,4,13,101,13
,F41 Gradnja stavb,6005,185184,4,13,42,31
,F42 Gradnja inženirskih objektov,6053,116501,4,14,74,19
,F43 Specializirana gradbena dela,16700,520347,3,12,40,31
,G45 Trgovina z motornimi vozili in popravila motornih vozil,10465,178763,3,11,66,17
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",31886,472634,3,12,78,15
,"G47 Trgovina na drobno, razen z motornimi vozili",65737,1162486,6,20,114,18
,"H49 Kopenski promet, cevovodni transport",14394,380978,3,11,40,27
,H50 Vodni promet,222,2138,3,9,96,10
,H51 Zraèni promet,1160,11385,4,15,156,10
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,11641,169265,4,16,110,15
,H53 Poštna in kurirska dejavnost,10864,171121,7,26,164,16
,I55 Gostinske nastanitvene dejavnosti,10272,215758,5,20,95,21
,I56 Dejavnost strežbe jedi in pijaè,14426,378606,4,14,55,26
,J58 Založništvo,2649,29115,3,12,113,11
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",1004,12608,2,8,61,13
,J60 Radijska in televizijska dejavnost,3397,33617,3,12,122,10
,J61 Telekomunikacijske dejavnosti,6982,68275,4,15,152,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",11828,95652,2,7,82,8
,J63 Druge informacijske dejavnosti,2490,21500,3,10,117,9
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",22019,205553,5,17,183,9
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",9345,94285,4,15,150,10
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2559,39401,4,13,86,15
,L68 Poslovanje z nepremièninami,5505,92133,4,14,81,17
,M69 Pravne in raèunovodske dejavnosti,7602,103232,3,9,69,14
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",8353,134068,3,10,62,16
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",10784,130897,2,8,69,12
,M72 Znanstvena raziskovalna in razvojna dejavnost,9741,76011,3,9,117,8
,M73 Oglaševanje in raziskovanje trga,3100,29299,2,9,90,10
,M74 Druge strokovne in tehniène dejavnosti,2512,36461,2,7,50,15
,M75 Veterinarstvo,733,13498,4,14,74,18
,N77 Dajanje v najem in zakup,650,16543,4,15,61,26
,N78 Zaposlovalne dejavnosti,28179,312910,5,19,168,11
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1831,18796,2,8,81,10
,N80 Varovanje in poizvedovalne dejavnosti,5352,132957,6,22,90,25
,N81 Dejavnost oskrbe stavb in okolice,6817,190282,6,21,75,28
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,4356,83589,6,21,111,19
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",109173,1302663,7,26,218,12
,P85 Izobraževanje,125534,1225706,4,16,161,10
,Q86 Zdravstvo,73226,900969,6,20,162,12
,Q87 Socialno varstvo z nastanitvijo,24484,437841,8,30,169,18
,Q88 Socialno varstvo brez nastanitve,10274,118491,6,22,194,12
,R90 Kulturne in razvedrilne dejavnosti,3313,68553,3,10,50,21
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",5681,55522,4,15,157,10
,R92 Prirejanje iger na sreèo,2758,36727,4,16,121,13
,R93 Športne in druge dejavnosti za prosti èas,1949,39973,3,11,52,21
,S94 Dejavnost èlanskih organizacij,3463,42641,3,10,83,12
,S95 Popravila raèunalnikov in izdelkov za široko rabo,654,15576,3,10,41,24
,S96 Druge storitvene dejavnosti,5665,125373,3,12,55,22
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),1975,31581,-,-,-,-
2019,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6187,286032,5,18,39,46
,B RUDARSTVO,2666,68166,8,29,112,26
,C PREDELOVALNE DEJAVNOSTI,260552,4272735,6,20,123,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",11330,124667,4,16,145,11
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",11327,197344,6,21,119,17
,F GRADBENIŠTVO,31490,916701,4,13,45,29
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",119209,2013490,5,17,103,17
,H PROMET IN SKLADIŠÈENJE,41463,806977,4,15,75,20
,I GOSTINSTVO,27001,653483,5,17,70,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,30855,294415,3,10,107,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,34722,346279,5,17,166,10
,L POSLOVANJE Z NEPREMIÈNINAMI,5734,97365,4,14,84,17
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",46794,598945,3,10,78,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,47919,822220,6,21,123,17
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",114100,1331521,7,26,226,12
,P IZOBRAŽEVANJE,136187,1367041,5,17,171,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,117354,1557911,6,23,176,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",14501,219925,4,13,87,15
,S DRUGE DEJAVNOSTI,10783,235737,4,14,63,22
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,4471,234028,5,18,33,52
,A02 Gozdarstvo,1623,48619,6,22,73,30
,A03 Ribištvo in gojenje vodnih organizmov,93,3385,5,19,51,36
,B05 Pridobivanje premoga,1379,45114,10,38,115,33
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,10,35,2,9,250,4
,B08 Pridobivanje rudnin in kamnin,1175,22123,5,19,103,19
,B09 Storitve za rudarstvo,102,894,6,22,249,9
,C10 Proizvodnja živil,16629,329451,6,22,111,20
,C11 Proizvodnja pijaè,1806,26160,5,17,115,15
,C12 Proizvodnja tobaènih izdelkov,19,127,7,25,380,7
,C13 Proizvodnja tekstilij,3220,64295,6,20,102,20
,C14 Proizvodnja oblaèil,2819,52681,6,21,113,19
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",7565,107028,9,34,236,14
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",9412,217651,6,23,98,23
,C17 Proizvodnja papirja in izdelkov iz papirja,5549,97058,6,22,125,18
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,3864,60975,4,15,93,16
,C19 Proizvodnja koksa in naftnih derivatov,2,10,0,1,25,5
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",8796,118964,5,17,127,14
,C21 Proizvodnja farmacevtskih surovin in preparatov,18635,180804,6,21,214,10
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,19117,311265,5,19,116,16
,C23 Proizvodnja nekovinskih mineralnih izdelkov,7379,151794,6,22,108,21
,C24 Proizvodnja kovin,14287,239934,7,24,141,17
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",35371,668616,5,18,96,19
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",12857,157030,6,22,183,12
,C27 Proizvodnja elektriènih naprav,31333,522839,7,25,148,17
,C28 Proizvodnja drugih strojev in naprav,19033,277206,5,18,123,15
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",23077,336934,6,21,142,15
,C30 Proizvodnja drugih vozil in plovil,1456,12734,4,13,148,9
,C31 Proizvodnja pohištva,4937,110380,5,19,87,22
,C32 Druge raznovrstne predelovalne dejavnosti,5600,69649,5,17,134,12
,C33 Popravila in montaža strojev in naprav,7789,159150,4,14,70,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",11330,124667,4,16,145,11
,"E36 Zbiranje, preèišèevanje in distribucija vode",5349,88607,6,21,126,17
,E37 Ravnanje z odplakami,635,13555,6,22,102,21
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4946,88912,6,20,113,18
,E39 Saniranje okolja in drugo ravnanje z odpadki,397,6270,6,21,133,16
,F41 Gradnja stavb,6499,204920,4,13,42,32
,F42 Gradnja inženirskih objektov,6780,139442,4,16,77,21
,F43 Specializirana gradbena dela,18211,572339,3,13,40,31
,G45 Trgovina z motornimi vozili in popravila motornih vozil,11690,202653,3,13,72,17
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",34950,514516,3,13,85,15
,"G47 Trgovina na drobno, razen z motornimi vozili",72569,1296321,6,22,123,18
,"H49 Kopenski promet, cevovodni transport",15456,428755,3,12,42,28
,H50 Vodni promet,197,4014,5,17,82,20
,H51 Zraèni promet,980,12625,11,41,320,13
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,13333,174134,4,16,123,13
,H53 Poštna in kurirska dejavnost,11497,187449,7,27,163,16
,I55 Gostinske nastanitvene dejavnosti,11133,252223,6,23,100,23
,I56 Dejavnost strežbe jedi in pijaè,15868,401260,4,15,58,25
,J58 Založništvo,2731,34289,4,15,118,13
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",1079,13586,2,8,63,13
,J60 Radijska in televizijska dejavnost,3765,39783,4,14,136,11
,J61 Telekomunikacijske dejavnosti,7065,69511,4,15,154,10
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",13478,114948,2,8,88,9
,J63 Druge informacijske dejavnosti,2737,22298,3,10,121,8
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",22283,211933,5,18,190,10
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",9614,99106,4,16,155,10
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2825,35240,3,12,94,13
,L68 Poslovanje z nepremièninami,5734,97365,4,14,84,17
,M69 Pravne in raèunovodske dejavnosti,7885,117964,3,11,71,15
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",8944,146268,3,11,65,16
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",11997,145871,3,9,74,12
,M72 Znanstvena raziskovalna in razvojna dejavnost,11169,97479,3,11,128,9
,M73 Oglaševanje in raziskovanje trga,3224,37877,3,10,86,12
,M74 Druge strokovne in tehniène dejavnosti,2847,41123,2,8,54,14
,M75 Veterinarstvo,728,12363,3,12,70,17
,N77 Dajanje v najem in zakup,856,13977,4,13,78,16
,N78 Zaposlovalne dejavnosti,27018,308964,5,19,168,11
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",2102,22528,3,10,88,11
,N80 Varovanje in poizvedovalne dejavnosti,5585,148746,7,24,92,27
,N81 Dejavnost oskrbe stavb in okolice,7896,236088,7,25,84,30
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,4462,91917,7,24,116,21
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",114100,1331521,7,26,226,12
,P85 Izobraževanje,136187,1367041,5,17,171,10
,Q86 Zdravstvo,80671,949502,6,21,175,12
,Q87 Socialno varstvo z nastanitvijo,25643,481827,9,33,175,19
,Q88 Socialno varstvo brez nastanitve,11040,126582,6,22,193,12
,R90 Kulturne in razvedrilne dejavnosti,3481,63930,3,10,52,18
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",6097,67283,5,18,166,11
,R92 Prirejanje iger na sreèo,2875,45545,6,21,131,16
,R93 Športne in druge dejavnosti za prosti èas,2048,43167,3,11,52,21
,S94 Dejavnost èlanskih organizacij,3906,52964,3,10,76,14
,S95 Popravila raèunalnikov in izdelkov za široko rabo,752,23655,4,15,47,32
,S96 Druge storitvene dejavnosti,6125,159118,4,15,58,26
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),2220,31376,3,10,67,14
,,,,,,,
"Pojasnilo (*)
- V dejavnosti O so od leta 2011 vkljuèene brezposelne osebe iz vseh dejavnosti, ki so imele pravico do denarnega nadomestila za èas zaèasne nezmožnosti za delo. Najveè primerov je bilo v letih 2010-2012. ZUJF z dne 31. 5. 2012 ukinja to pravico, razen v primerih že zaèetih postopkov za uveljavljanje pravice.",,,,,,,
"Povezane vsebine:
- <A class=seznam HREF=/docs/3_3f_BS_2016.pdf target=_blank>Metodološka pojasnila</A>
",,,,,,,
,,,,,,,
Zadnja posodobitev:,,,,,,,
20200930 09:00,,,,,,,
,,,,,,,
Vir podatkov:,,,,,,,
NIJZ,,,,,,,
,,,,,,,
Kontakt:,,,,,,,
"Blaženka Jeren, NIJZ",,,,,,,
+386 (01) 2441 501,,,,,,,
<a href='mailto:blazenka.jeren@nijz.si'>blazenka.jeren@nijz.si</a>,,,,,,,
,,,,,,,
Avtorske pravice,,,,,,,
,,,,,,,
Enote:,,,,,,,
Primeri,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Zbirka podatkov:,,,,,,,
"NIJZ 3 - Evidenca zaèasne odsotnosti z dela zaradi bolezni, poškodb in drugih vzrokov (BS)",,,,,,,
,,,,,,,
Kratko ime:,,,,,,,
10700004,,,,,,,
